SeriesName,SeasonNumber,EpisodeNumber,EpisodeTitle,AirDate
Stranger Things,two,14,Crossroads,2016-03-04
The Bear,4,0,Last Stand,yesterday
The Bear,0,10,End Game,2022-40-99
Game of Thrones,0,9,Untitled,N/A
Game of Thrones,5,4,Redemption,2015-09-09
Better Call Saul,0,3,The Beginning,yesterday
Better Call Saul,3,1,Rising Sun,2019-09-02
Severance,2,4,Redemption,2007-11-04
Severance,5,9,Crossroads,2022-40-99
Chernobyl,1,10,Last Stand,not a date
Game of Thrones,-5,7,Aftermath,2019-06-21
Better Call Saul,5,--2,The Truth,2019-02-04
Breaking Bad,2,0,End Game,yesterday
  GAME OF THRONES  , 1 , 7 ,  the beginning  ,2003-01-31
Severance,0,9,No Way Out,2003-07-24
Chernobyl,1,8,Fallout,2017-12-22
,4,10,Into the Dark,2006-05-29
Dark,0,5,Rising Sun,yesterday
,5,15,Untitled,2009-02-15
Game of Thrones,0,3,New Dawn,2014-03-14
Breaking Bad,1,15,Aftermath,
The Wire,0,10,The Truth,0000-00-00
Chernobyl,5,8,,2002-01-14
Better Call Saul,5,5,Rising Sun,2018-09-03
Severance,5,12,The Truth,2013-09-19
Severance,0,13,The Truth,32-13-2020
Better Call Saul,4,,New Dawn,2016-11-22
Breaking Bad,1,11,The Descent,2018-08-08
Dark,3,9,Fallout,2004-04-20
Dark,0,7,Rising Sun,yesterday
Stranger Things,1,10,End Game,99/99/9999
The Wire,1,10,Untitled,2011-12-24
The Wire,2,10,New Dawn,2000-11-09
Dark,5,10,No Way Out,2007-02-04
   ,5,9,Into the Dark,2015-11-23
Better Call Saul,0,2,Breaking Point,yesterday
Stranger Things,abc,,,
Dark,2,14,Redemption,N/A
Stranger Things,0,9,The Beginning,2021-06-15
Breaking Bad,two,,,
Chernobyl,2,8,Breaking Point,2006-01-20
Game of Thrones,0,15,Last Stand,yesterday
The Wire,1,4,The Truth,yesterday
The Bear,1,2,The Awakening,99/99/9999
Sopranos,1,9,The Beginning,not a date
Dark,1,9,The Awakening,2015-05-28
The Wire,2,0,Rising Sun,2022-40-99
The Wire,5,8,New Dawn,2020-04-21
Better Call Saul,0,2,Aftermath,99/99/9999
Severance,1,N/A,Reckoning,2015-11-30
The Wire,,,,
The Wire,3.5,,,
  BETTER CALL SAUL  , 4 , 1 ,  the awakening  ,2000-05-17
Severance,2,9,,2009-04-26
The Wire,2,4,Pilot,2014-10-20
Sopranos,3,15,Pilot,0000-00-00
The Wire,0,13,New Dawn,yesterday
Breaking Bad,4,9,Rising Sun,2021-10-28
Better Call Saul,4,4,Redemption,2013-03-20
Severance,4,5,Last Stand,2018-11-02
Dark,1,9,The Truth,2018-08-08
Breaking Bad,1,15,Last Stand,yesterday
Better Call Saul,5,two,Untitled,2009-09-14
Breaking Bad,1,15,Last Stand,2003-09-24
   ,3,10,Into the Dark,2004-04-24
The Bear,0,5,Redemption,0000-00-00
Sopranos,4,N/A,Fallout,2011-07-20
Better Call Saul,2,1,New Dawn,32-13-2020
Breaking Bad,5,8,No Way Out,2020-08-14
   ,5,4,Aftermath,2012-05-29
Dark,1,3,Reckoning,2017-07-19
Game of Thrones,4,5,Redemption,2014-04-04
Stranger Things,2,8,,2007-04-04
The Wire,2,1,Last Stand,0000-00-00
The Bear,-5,10,No Way Out,2010-05-18
Dark,5,12,Fallout,2020-10-05
Severance,1,12,The Truth,2005-04-04
Stranger Things,0,10,Breaking Point,
The Bear,3,two,The Return,2011-03-05
Better Call Saul,2,11,Reckoning,2018-11-26
Stranger Things,2,0,Into the Dark,yesterday
Dark,3,14,End Game,2010-07-19
The Wire,1,12,The Awakening,2002-11-02
Chernobyl,5,0,The Descent,not a date
The Wire,2,11,Reckoning,2005-05-09
Sopranos,one,3,Redemption,2010-07-08
The Wire,two,11,Breaking Point,2013-05-06
Sopranos,1,9,Last Stand,
Stranger Things,3,3,Redemption,2012-05-16
Chernobyl,2,8,,2003-06-08
Severance,2,6,New Dawn,2007-08-20
The Bear,two,3,End Game,2021-05-02
Chernobyl,4,13,,2005-12-27
Game of Thrones,2,6,The Truth,32-13-2020
Sopranos,two,2,Final Chapter,2020-07-23
The Bear,3,10,Crossroads,yesterday
Dark,1,3,Crossroads,2017-07-19
Better Call Saul,2,12,Last Stand,
Severance,1,12,The Truth,0000-00-00
The Bear,4,9,Redemption,2021-10-12
Stranger Things,3,0,No Way Out,0000-00-00
Sopranos,5,,Untitled,2003-03-15
The Bear,5,0,Pilot,0000-00-00
Stranger Things,2,4,Breaking Point,2015-07-25
Stranger Things,2,2,The Descent,2009-02-21
Better Call Saul,2,11,Aftermath,2018-11-26
Severance,2,5,Fallout,not a date
Severance,5,3,New Dawn,2011-11-01
Better Call Saul,1,10,The Descent,2000-09-17
Better Call Saul,4,15,Untitled,0000-00-00
Sopranos,4,abc,Breaking Point,2020-01-24
,3,13,Fallout,2006-07-07
Breaking Bad,1,4,Last Stand,2011-05-02
Game of Thrones,0,,,
Better Call Saul,0,2,The Descent,
Better Call Saul,4,14,Last Stand,0000-00-00
Better Call Saul,3,one,Reckoning,2001-10-17
The Wire,1,4,Rising Sun,2012-07-07
Game of Thrones,  ,9,The Awakening,2000-11-05
Breaking Bad,3,5,The Return,2009-08-22
Chernobyl,2,5,End Game,2003-07-10
Breaking Bad,3,10,Breaking Point,2008-11-23
The Wire,4,4,Into the Dark,2009-12-09
Sopranos,0,3,Redemption,N/A
Stranger Things,4,two,Into the Dark,2018-03-14
Game of Thrones,4,7,Final Chapter,2004-05-11
Dark,3,14,End Game,2010-07-19
The Bear,3,4,Into the Dark,2008-11-15
Dark,5,11,Into the Dark,2003-06-22
The Wire,1,14,Last Stand,2019-06-08
The Wire,3,N/A,The Beginning,2006-02-16
Chernobyl,1,0,Fallout,2022-40-99
Stranger Things,1,5,Into the Dark,2002-07-23
Dark,0,8,Last Stand,N/A
Sopranos,2,0,Into the Dark,99/99/9999
Game of Thrones,5,3,New Dawn,2006-04-27
Sopranos,2,6,Aftermath,2004-09-12
Game of Thrones,0,7,Aftermath,
The Bear,3,8,The Awakening,2011-11-28
Severance,5,10,Breaking Point,2007-07-18
Sopranos,1,1,Redemption,2013-12-06
The Wire,N/A,,,
The Wire,4,4,End Game,2009-12-09
Chernobyl,2,14,Pilot,2013-12-07
   ,2,4,Crossroads,2011-06-02
Breaking Bad,2,3.5,End Game,2017-06-17
Game of Thrones,2,5,Rising Sun,2019-12-15
Chernobyl,--2,2,Fallout,2004-06-04
Game of Thrones,5,13,Fallout,2002-11-17
The Bear,1,6,The Awakening,2009-08-10
Dark,3,one,Redemption,2015-06-12
Severance,0,9,No Way Out,yesterday
The Wire,5,15,Final Chapter,32-13-2020
Severance,2,6,Redemption,2007-08-20
   ,4,4,The Return,2018-07-27
Sopranos,0,14,The Awakening,99/99/9999
The Bear,2,0,No Way Out,yesterday
The Wire,5,12,New Dawn,2012-06-19
Severance,3,6,Breaking Point,2006-03-29
The Wire,1,1,Reckoning,2017-04-18
Game of Thrones,0,2,The Descent,yesterday
   ,1,2,Breaking Point,2011-05-03
Breaking Bad,2,14,The Beginning,2018-01-20
Dark,3,9,Fallout,2004-04-20
Sopranos,5,8,The Descent,2001-05-25
Dark,3,5,Fallout,2004-10-29
Game of Thrones,3,14,No Way Out,2013-08-28
Game of Thrones,0,9,The Awakening,yesterday
Sopranos,2,0,Redemption,N/A
Dark,4,9,Last Stand,2015-06-28
Better Call Saul,2,7,Fallout,2000-12-08
  CHERNOBYL  , 2 , 13 ,  final chapter  ,2018-05-29
Stranger Things,0,14,The Return,2003-02-07
Better Call Saul,3,13,Reckoning,2002-07-02
The Wire,4,2,Last Stand,2020-09-20
The Bear,3,8,The Awakening,not a date
Stranger Things,5,11,New Dawn,2013-10-24
The Bear,5,1,The Descent,2001-11-02
Severance,two,,,
The Wire,5,11,The Return,2009-07-14
Dark,4,0,The Beginning,99/99/9999
Stranger Things,3,3,Redemption,2012-05-16
Stranger Things,5,8,The Beginning,2012-07-02
Better Call Saul,1,1,The Awakening,2018-10-01
The Wire,1,4,The Truth,2015-11-09
The Wire,5,12,The Beginning,2012-06-19
Breaking Bad,1,13,The Descent,2004-11-27
   ,1,6,Reckoning,2015-02-10
Stranger Things,2,3,Into the Dark,2015-01-06
  STRANGER THINGS  , 5 , 12 ,  end game  ,2021-11-07
Game of Thrones,4,14,The Beginning,2019-04-04
Dark,5,4,New Dawn,2000-12-29
The Wire,N/A,10,The Truth,2002-04-28
Chernobyl,2,2,Rising Sun,
Breaking Bad,4,9,The Truth,2021-10-28
Game of Thrones,1,11,Last Stand,2017-05-03
Severance,3,12,,2000-06-27
The Bear,4,,New Dawn,2001-09-06
Game of Thrones,4,14,The Beginning,2019-04-04
Stranger Things,3.5,11,Into the Dark,2019-01-01
Chernobyl,3,7,Aftermath,2009-10-28
The Bear,0,15,New Dawn,99/99/9999
Stranger Things,0,9,The Beginning,yesterday
Stranger Things,5,11,Pilot,2013-10-24
Sopranos,4,12,Fallout,2009-10-07
The Bear,3,10,The Return,N/A
The Wire,3,3,Crossroads,99/99/9999
Stranger Things,3,3,Redemption,
Dark,3,15,Redemption,2022-40-99
Stranger Things,4,0,Into the Dark,2022-40-99
The Wire,2,11,Reckoning,2005-05-09
Severance,4,4,Rising Sun,2002-03-05
Better Call Saul,4,2,Last Stand,2005-01-14
Stranger Things,1,10,Rising Sun,2015-02-22
Game of Thrones,3,0,Breaking Point,32-13-2020
The Bear,5,1,End Game,0000-00-00
Stranger Things,4,6,Breaking Point,N/A
Severance,5,12,The Truth,2013-09-19
Game of Thrones,0,13,Rising Sun,0000-00-00
Severance,4,5,Last Stand,99/99/9999
Chernobyl,4,5,Final Chapter,2021-11-26
Stranger Things,5,8,Aftermath,2012-07-02
Severance,3,abc,Aftermath,2017-02-11
Severance,1,13,Into the Dark,yesterday
Breaking Bad,N/A,11,Into the Dark,2012-06-08
,2,7,The Return,2009-03-15
Dark,4,7,Last Stand,2003-04-23
Better Call Saul,5,5,Rising Sun,2018-09-03
Chernobyl,2,6,Untitled,2012-02-05
Sopranos,1,1,Redemption,2013-12-06
,5,4,Last Stand,2001-02-19
The Bear,4,0,New Dawn,32-13-2020
Chernobyl,2,9,End Game,2003-07-06
   ,1,3,Reckoning,2018-01-12
The Wire,3,3,Crossroads,2013-08-14
The Bear,0,3,End Game,N/A
Dark,4,2,The Descent,2021-07-19
Severance,5,0,The Truth,0000-00-00
Dark,3,7,The Descent,2010-06-22
The Bear,2,12,Fallout,
Breaking Bad,4,8,Crossroads,2010-07-16
,5,11,Crossroads,2002-08-31
Better Call Saul,1,10,Reckoning,2010-12-16
Breaking Bad,3,13,,2006-08-13
  STRANGER THINGS  , 4 , 14 ,  end game  ,2009-09-24
Severance,0,8,Aftermath,not a date
Breaking Bad,1,4,Into the Dark,2013-09-16
Dark,3,15,Redemption,2006-05-25
Breaking Bad,5,8,The Beginning,2020-08-14
Better Call Saul,--2,2,Breaking Point,2016-09-22
Dark,1,9,The Truth,99/99/9999
Dark,4,-5,The Beginning,2008-05-16
Better Call Saul,5,0,Untitled,
Chernobyl,1,12,The Return,N/A
Severance,2,11,End Game,2006-05-13
Breaking Bad,3,0,End Game,not a date
Game of Thrones,5,13,Fallout,2022-40-99
The Wire,3.5,13,Into the Dark,2008-04-01
The Bear,1,2,Into the Dark,2018-04-20
   ,3,3,Rising Sun,2013-10-22
  BETTER CALL SAUL  , 5 , 5 ,  new dawn  ,2000-05-20
Game of Thrones,5,13,Fallout,2004-04-18
Severance,0,6,Untitled,yesterday
Dark,,10,The Beginning,2004-08-01
Chernobyl,5,4,Pilot,2001-08-04
Dark,4,2,Rising Sun,2021-07-19
Severance,5,0,Fallout,2019-10-31
Dark,5,two,End Game,2021-10-22
Dark,4,9,Last Stand,32-13-2020
The Wire,1,1,Reckoning,
Chernobyl,1,10,Last Stand,2002-04-14
The Wire,5,one,The Awakening,2011-04-10
Chernobyl,5,0,The Descent,2014-05-01
Game of Thrones,1,13,The Descent,
Game of Thrones,,9,Untitled,2005-07-22
Sopranos,3,10,,2016-03-18
Dark,2,5,Reckoning,2017-08-29
Stranger Things,0,14,Crossroads,N/A
Severance,0,13,Final Chapter,2010-01-25
Severance,4,5,Last Stand,2018-11-02
,5,10,Last Stand,2016-03-06
Sopranos,0,15,The Truth,yesterday
Dark,3,5,The Beginning,2022-40-99
Dark,4,1,Breaking Point,2007-07-16
The Bear,2,12,Reckoning,2004-07-25
The Wire,2,4,Reckoning,0000-00-00
Severance,1,5,The Descent,2022-40-99
Stranger Things,0,11,Into the Dark,not a date
The Bear,2,8,Last Stand,99/99/9999
Game of Thrones,5,7,Aftermath,2016-05-04
Breaking Bad,1,4,The Return,2011-05-02
Game of Thrones,1,12,New Dawn,2005-06-29
  BREAKING BAD  , 2 , 15 ,  last stand  ,2019-06-21
,2,12,Into the Dark,2007-02-10
Game of Thrones,5,3,New Dawn,2006-04-27
Chernobyl,3,4,The Beginning,2012-12-27
Sopranos,1,2,Breaking Point,2002-03-03
Breaking Bad,1,15,Last Stand,2003-09-24
Sopranos,1,0,Reckoning,
Better Call Saul,0,14,Rising Sun,2022-40-99
The Bear,5,8,Last Stand,2017-08-06
The Wire,3,0,Redemption,32-13-2020
Better Call Saul,5,5,Final Chapter,2009-08-10
Chernobyl,2,6,The Descent,2012-02-05
Better Call Saul,2,7,Fallout,99/99/9999
Sopranos,4,12,The Awakening,2007-06-02
Better Call Saul,3,3,Redemption,2019-10-04
   ,4,6,Untitled,2010-04-23
Stranger Things,5,9,Pilot,2020-05-04
Better Call Saul,2,1,No Way Out,2001-10-18
The Wire,0,15,Reckoning,2022-40-99
Better Call Saul,2,1,No Way Out,2001-10-18
,3,9,Aftermath,2016-12-06
Severance,5,0,Breaking Point,99/99/9999
Chernobyl,--2,13,Fallout,2006-06-29
Better Call Saul,0,2,The Truth,
Game of Thrones,4,0,Redemption,2022-40-99
Sopranos,2,0,Aftermath,99/99/9999
Better Call Saul,1,10,Rising Sun,2010-12-16
Better Call Saul,3,0,End Game,
Better Call Saul,3,0,Reckoning,yesterday
Game of Thrones,3,15,Redemption,2005-06-20
Dark,4,1,Breaking Point,2007-07-16
   ,5,7,Breaking Point,2018-05-10
The Wire,4,3,Redemption,2000-01-27
The Wire,1,1,The Awakening,2006-07-21
The Wire,4,2,Last Stand,99/99/9999
Dark,two,,,
Severance,2,11,End Game,99/99/9999
Severance,2,5,Fallout,2005-07-13
The Bear,4,0,End Game,N/A
Dark,abc,11,Rising Sun,2015-12-23
Severance,0,13,Final Chapter,yesterday
Breaking Bad,3.5,7,Aftermath,2021-09-29
Game of Thrones,2,5,Into the Dark,2019-12-15
Stranger Things,--2,3,The Awakening,2017-11-28
Chernobyl,2,12,Rising Sun,2015-03-06
Better Call Saul,4,8,Redemption,2006-09-01
Breaking Bad,4,14,Reckoning,2004-01-29
Game of Thrones,4,0,End Game,2022-40-99
Better Call Saul,1,12,Reckoning,2001-04-13
Chernobyl,1,--2,Reckoning,2011-07-24
Breaking Bad,4,8,Last Stand,0000-00-00
The Wire,5,8,New Dawn,N/A
Better Call Saul,--2,11,Breaking Point,2005-08-26
Severance,5,0,Fallout,not a date
Dark,0,10,The Beginning,99/99/9999
Better Call Saul,1,10,Reckoning,2010-12-16
Breaking Bad,2,2,The Beginning,2019-04-13
Better Call Saul,0,11,Breaking Point,2022-40-99
The Wire,,,,
  SOPRANOS  , 1 , 7 ,  the beginning  ,2005-03-16
The Wire,4,8,The Awakening,yesterday
The Wire,2,1,Last Stand,2019-09-10
Game of Thrones,2,5,Rising Sun,2012-12-23
The Bear,4,5,Final Chapter,2013-12-05
Breaking Bad,3,7,Reckoning,2004-09-29
   ,1,5,End Game,2007-10-08
Dark,5,0,End Game,yesterday
Game of Thrones,4,7,Final Chapter,N/A
Breaking Bad,0,6,The Truth,not a date
The Wire,4,3,The Truth,2010-04-03
Severance,5,9,Crossroads,2007-02-12
Sopranos,1,3,The Awakening,32-13-2020
The Bear,5,11,Reckoning,N/A
Chernobyl,1,5,,2008-08-08
Chernobyl,  ,,,
Severance,5,14,No Way Out,2009-07-27
Better Call Saul,3,1,The Awakening,2019-09-02
The Bear,3,6,Last Stand,2018-08-19
  SOPRANOS  , 1 , 15 ,  final chapter  ,2011-11-05
The Bear,1,2,The Awakening,2004-10-12
Better Call Saul,4,15,Untitled,2016-09-05
Stranger Things,1,10,End Game,2015-02-22
The Bear,,15,New Dawn,2004-01-17
Game of Thrones,0,1,Into the Dark,2022-40-99
Chernobyl,5,two,The Descent,2014-11-25
Game of Thrones,5,13,Untitled,0000-00-00
Chernobyl,0,6,Fallout,99/99/9999
The Bear,3.5,5,Redemption,2011-12-23
  CHERNOBYL  , 4 , 11 ,  final chapter  ,2020-02-09
Dark,N/A,7,Rising Sun,2009-07-28
Better Call Saul,3,  ,End Game,2012-03-15
   ,5,13,Crossroads,2020-08-23
  BETTER CALL SAUL  , 1 , 11 ,  into the dark  ,2000-03-18
Stranger Things,one,10,Breaking Point,2003-03-08
The Bear,5,1,Crossroads,2001-11-02
Sopranos,1,9,Last Stand,2006-03-31
Severance,5,11,The Beginning,0000-00-00
Sopranos,3,13,Breaking Point,99/99/9999
Game of Thrones,4,-5,End Game,2013-07-06
The Wire,2,10,New Dawn,2000-11-09
Breaking Bad,3,N/A,End Game,2005-05-29
Sopranos,4,,Final Chapter,2013-07-27
Breaking Bad,5,7,Into the Dark,2000-02-18
Breaking Bad,5,12,Rising Sun,2021-04-02
Breaking Bad,5,1,Aftermath,2005-01-10
Game of Thrones,4,5,,2003-08-01
  THE WIRE  , 1 , 6 ,  breaking point  ,2021-07-07
The Wire,3,0,The Beginning,not a date
Game of Thrones,3,15,Redemption,2005-06-20
Breaking Bad,one,6,The Truth,2014-06-17
,4,14,The Beginning,2015-10-30
Dark,-5,5,Rising Sun,2000-06-19
Dark,1,3,Breaking Point,2000-01-18
Game of Thrones,-5,7,The Beginning,2000-06-02
The Bear,5,0,Fallout,yesterday
   ,2,2,Breaking Point,2008-05-15
The Wire,5,12,New Dawn,2012-06-19
Game of Thrones,2,11,Last Stand,2017-10-06
Dark,4,8,The Return,99/99/9999
   ,2,7,Crossroads,2016-07-31
Better Call Saul,4,2,Last Stand,2005-01-14
Better Call Saul,--2,14,Rising Sun,2001-11-18
Chernobyl,0,10,Reckoning,99/99/9999
Dark,5,6,The Descent,32-13-2020
Chernobyl,4,N/A,End Game,2005-01-13
Dark,5,10,Pilot,2001-11-18
The Bear,3,,Fallout,2007-11-26
Severance,3.5,15,Final Chapter,2007-03-18
,4,15,The Truth,2011-02-26
The Wire,3,15,The Beginning,2020-02-28
Stranger Things,3,,The Descent,2013-10-15
Game of Thrones,1,13,Pilot,2021-04-19
Dark,5,12,The Awakening,2017-12-09
Breaking Bad,0,3,The Descent,not a date
The Bear,4,4,The Awakening,2016-12-09
The Wire,4,4,End Game,
The Wire,1,11,,2020-07-18
  THE BEAR  , 3 , 14 ,  no way out  ,2007-12-13
Severance,4,11,The Return,2011-06-19
Better Call Saul,5,4,,2012-11-04
Better Call Saul,abc,,,
Breaking Bad,-5,7,The Beginning,2011-04-05
Severance,4,8,Pilot,2002-02-01
Better Call Saul,4,2,,2015-04-04
The Wire,5,8,New Dawn,2020-04-21
Breaking Bad,2,3,Final Chapter,2021-04-15
The Wire,5,13,Untitled,2011-05-21
The Bear,5,11,Reckoning,2010-06-06
The Wire,4,8,Redemption,2007-08-23
Better Call Saul,3,13,Reckoning,2002-07-02
  BETTER CALL SAUL  , 2 , 15 ,  into the dark  ,2019-12-12
The Bear,1,5,,2014-08-29
The Bear,--2,1,End Game,2009-12-08
Severance,0,9,Last Stand,2000-12-21
Chernobyl,1,one,Fallout,2010-02-20
Severance,0,10,Redemption,0000-00-00
,4,9,The Beginning,2001-01-06
The Bear,--2,8,No Way Out,2001-01-07
Game of Thrones,0,7,The Beginning,N/A
Breaking Bad,2,3,The Beginning,2021-04-15
The Wire,5,11,The Return,2009-07-14
,1,7,Reckoning,2016-02-02
Severance,N/A,6,Untitled,2006-12-27
Sopranos,3,10,New Dawn,2018-02-06
Severance,5,14,No Way Out,32-13-2020
Sopranos,1,4,The Return,2004-04-07
  GAME OF THRONES  , 5 , 10 ,  new dawn  ,2014-10-05
Stranger Things,5,8,The Beginning,not a date
The Bear,5,  ,Pilot,2012-11-23
Dark,5,10,Pilot,2001-11-18
Severance,3,6,Breaking Point,2006-03-29
Game of Thrones,1,0,New Dawn,2022-40-99
Severance,5,--2,The Truth,2010-10-31
Breaking Bad,2,9,The Truth,0000-00-00
Chernobyl,1,12,The Return,2007-01-28
Better Call Saul,abc,3,The Beginning,2002-04-27
The Bear,,10,End Game,2003-06-28
Better Call Saul,  ,,,
,2,15,New Dawn,2016-04-25
Better Call Saul,5,5,Fallout,2009-08-10
Dark,2,14,Redemption,2020-08-15
Chernobyl,2,0,Rising Sun,32-13-2020
The Wire,4,abc,Fallout,2010-01-22
Stranger Things,0,13,Crossroads,yesterday
Dark,2,14,Redemption,2004-01-28
Sopranos,1,9,Crossroads,2006-03-31
Game of Thrones,4,8,End Game,2012-12-09
Breaking Bad,1,4,Into the Dark,2013-09-16
Chernobyl,3,4,The Return,yesterday
Stranger Things,2,4,Breaking Point,2015-07-25
Game of Thrones,4,7,Final Chapter,2004-05-11
The Wire,4,0,Fallout,
Sopranos,3,13,Breaking Point,2019-02-21
Better Call Saul,4,13,,2001-03-31
Game of Thrones,2,5,Rising Sun,not a date
Sopranos,4,5,The Truth,2005-08-21
Chernobyl,3,,Rising Sun,2005-05-07
Dark,5,4,New Dawn,N/A
Sopranos,4,0,Final Chapter,2022-40-99
  GAME OF THRONES  , 5 , 13 ,  reckoning  ,2013-10-07
Chernobyl,4,0,End Game,
The Wire,5,13,Fallout,2011-05-21
Severance,5,1,,2012-07-13
The Bear,5,1,Crossroads,32-13-2020
The Wire,0,13,New Dawn,2001-04-05
The Bear,0,1,End Game,32-13-2020
Breaking Bad,4,14,Reckoning,2004-01-29
   ,1,8,Reckoning,2009-05-23
Game of Thrones,N/A,,,
The Bear,2,8,Last Stand,2006-02-13
,3,11,Into the Dark,2011-10-14
Sopranos,5,6,Rising Sun,
Dark,5,8,The Beginning,yesterday
   ,2,5,The Truth,2015-10-23
Chernobyl,2,5,Fallout,N/A
Breaking Bad,0,11,Into the Dark,not a date
Sopranos,2,1,,2014-12-23
Breaking Bad,3,10,Breaking Point,2008-11-23
Better Call Saul,1,11,The Awakening,2006-09-18
Chernobyl,4,5,Final Chapter,2021-11-26
The Bear,1,9,The Return,2016-01-22
The Wire,3,6,No Way Out,N/A
Dark,4,8,Fallout,2019-05-24
,5,11,Crossroads,2017-05-16
Game of Thrones,N/A,15,End Game,2013-08-23
Better Call Saul,1,1,The Awakening,2018-10-01
The Bear,4,9,New Dawn,2021-10-12
